type,hour,minute,line
weekday,0,39,3
weekday,4,20,2
weekday,4,51,2
weekday,4,39,3
weekday,5,11,2
weekday,5,31,2
weekday,5,51,2
weekday,5,1,3
weekday,5,21,3
weekday,5,41,3
weekday,6,10,2
weekday,6,25,2
weekday,6,39,2
weekday,6,51,2
weekday,6,1,3
weekday,6,18,3
weekday,6,33,3
weekday,6,45,3
weekday,6,57,3
weekday,7,3,2
weekday,7,15,2
weekday,7,25,2
weekday,7,29,2
weekday,7,38,2
weekday,7,48,2
weekday,7,9,3
weekday,7,21,3
weekday,7,33,3
weekday,7,43,3
weekday,7,54,3
weekday,8,2,2
weekday,8,19,2
weekday,8,23,2
weekday,8,39,2
weekday,8,59,2
weekday,8,9,3
weekday,8,14,3
weekday,8,29,3
weekday,8,49,3
weekday,9,19,2
weekday,9,39,2
weekday,9,59,2
weekday,9,9,3
weekday,9,29,3
weekday,9,49,3
weekday,10,19,2
weekday,10,39,2
weekday,10,59,2
weekday,10,9,3
weekday,10,29,3
weekday,10,49,3
weekday,11,19,2
weekday,11,39,2
weekday,11,59,2
weekday,11,9,3
weekday,11,29,3
weekday,11,49,3
weekday,12,19,2
weekday,12,39,2
weekday,12,55,2
weekday,12,9,3
weekday,12,29,3
weekday,12,48,3
weekday,13,7,2
weekday,13,19,2
weekday,13,31,2
weekday,13,43,2
weekday,13,55,2
weekday,13,1,3
weekday,13,13,3
weekday,13,25,3
weekday,13,37,3
weekday,13,49,3
weekday,14,7,2
weekday,14,19,2
weekday,14,31,2
weekday,14,43,2
weekday,14,55,2
weekday,14,1,3
weekday,14,13,3
weekday,14,25,3
weekday,14,37,3
weekday,14,49,3
weekday,15,7,2
weekday,15,19,2
weekday,15,31,2
weekday,15,43,2
weekday,15,55,2
weekday,15,1,3
weekday,15,13,3
weekday,15,25,3
weekday,15,37,3
weekday,15,49,3
weekday,16,7,2
weekday,16,19,2
weekday,16,31,2
weekday,16,43,2
weekday,16,58,2
weekday,16,1,3
weekday,16,13,3
weekday,16,25,3
weekday,16,37,3
weekday,16,50,3
weekday,17,15,2
weekday,17,24,2
weekday,17,44,2
weekday,17,45,2
weekday,17,5,3
weekday,17,14,3
weekday,17,34,3
weekday,17,35,3
weekday,17,56,3
weekday,18,20,2
weekday,18,44,2
weekday,18,0,3
weekday,18,8,3
weekday,18,32,3
weekday,18,56,3
weekday,19,8,2
weekday,19,20,3
weekday,19,32,3
weekday,19,44,3
weekday,19,55,3
weekday,20,6,3
weekday,20,21,3
weekday,20,36,3
weekday,20,51,3
weekday,21,6,3
weekday,21,21,3
weekday,21,36,3
weekday,21,51,3
weekday,22,11,3
weekday,22,26,3
weekday,22,28,3
weekday,22,55,3
weekday,23,2,3
weekday,23,31,3
weekend,0,25,2
weekend,0,36,3
weekend,0,51,3
weekend,4,25,2
weekend,4,36,3
weekend,4,51,3
weekend,5,6,3
weekend,5,21,3
weekend,5,36,3
weekend,5,51,3
weekend,6,6,3
weekend,6,21,3
weekend,6,36,3
weekend,6,51,3
weekend,7,6,3
weekend,7,21,3
weekend,7,36,3
weekend,7,51,3
weekend,8,6,3
weekend,8,21,3
weekend,8,34,3
weekend,8,44,3
weekend,8,54,3
weekend,9,4,3
weekend,9,15,3
weekend,9,25,3
weekend,9,35,3
weekend,9,45,3
weekend,9,55,3
weekend,10,5,3
weekend,10,15,3
weekend,10,25,3
weekend,10,35,3
weekend,10,45,3
weekend,10,55,3
weekend,11,5,3
weekend,11,15,3
weekend,11,25,3
weekend,11,35,3
weekend,11,45,3
weekend,11,55,3
weekend,12,5,3
weekend,12,15,3
weekend,12,25,3
weekend,12,35,3
weekend,12,45,3
weekend,12,55,3
weekend,13,5,3
weekend,13,15,3
weekend,13,25,3
weekend,13,35,3
weekend,13,45,3
weekend,13,55,3
weekend,14,5,3
weekend,14,15,3
weekend,14,25,3
weekend,14,35,3
weekend,14,45,3
weekend,14,55,3
weekend,15,5,3
weekend,15,15,3
weekend,15,25,3
weekend,15,35,3
weekend,15,45,3
weekend,15,55,3
weekend,16,5,3
weekend,16,15,3
weekend,16,25,3
weekend,16,35,3
weekend,16,45,3
weekend,16,55,3
weekend,17,5,3
weekend,17,15,3
weekend,17,25,3
weekend,17,35,3
weekend,17,45,3
weekend,17,55,3
weekend,18,5,3
weekend,18,15,3
weekend,18,25,3
weekend,18,35,3
weekend,18,45,3
weekend,18,55,3
weekend,19,5,3
weekend,19,15,3
weekend,19,25,3
weekend,19,35,3
weekend,19,45,3
weekend,19,55,3
weekend,20,6,3
weekend,20,12,3
weekend,20,21,3
weekend,20,36,3
weekend,20,51,3
weekend,21,6,3
weekend,21,21,3
weekend,21,36,3
weekend,21,51,3
weekend,22,6,3
weekend,22,12,3
weekend,22,26,3
weekend,22,55,3
weekend,23,2,3
weekend,23,31,3
